"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_19","exp_avant_19","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","France U16","France U17","France U18","France U19","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","Y"
7,"Gardien de But",5,"France","aucun","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.58,3,"1","0","0",1,1,1,1,NA,3,220,3,NA,14,1211,14,NA,6,540,6,NA,6,540,6,1
14,"Defenseur",10,"France","aucun","aucun",0,1,18.36,16.32,16.32,16.32,16.32,16.32,15.3,15.3,15.3,NA,6e-05,10.83,5,"1","1","0",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,362,4,1,15,1104,12,0
26,"Defenseur",11,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,18.48,18.48,18.48,18.48,18.48,18.48,NA,NA,NA,NA,6e-05,14.02,3,"1","0","0",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,450,5,NA,4,286,3,1
28,"Defenseur",11,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00017,25.24,1,"1","0","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1
29,"Milieu",12,"Algérie","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,13.27,13.34,13.36,13.34,14.27,14.27,13.36,13.34,13.34,13.27,0.00029,7.16,3,"1","1","1",1,0,1,1,NA,8,459,6,NA,NA,NA,NA,3,12,713,8,NA,3,163,2,0
51,"Attaquant",11,"France","aucun","aucun",0,1,NA,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,NA,0.00061,8.69,3,"1","0","1",1,0,1,1,NA,2,73,1,NA,NA,NA,NA,NA,2,96,1,1,9,407,5,1
57,"Attaquant",10,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM REIMS",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00145,14.4,2,"0","1","0",0,1,1,1,NA,NA,NA,NA,NA,5,308,4,NA,3,134,1,NA,3,122,1,0
75,"Milieu",4,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","PEM - PEM CASTELMAUROU",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,34.89,2,"1","0","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1453,15,1
86,"Milieu",6,"Sénégal","CFM - ACADEMY AS MONACO FC","PEM - PEM AIX EN PROVENCE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,270,3,NA,8,720,8,1
97,"Milieu",12,"France","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.2,1,"0","0","0",0,1,0,1,NA,NA,NA,NA,NA,1,90,1,NA,NA,NA,NA,3,11,628,8,1
104,"Milieu",8,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022,19.82,3,"1","0","1",0,1,1,1,NA,NA,NA,NA,NA,15,898,12,3,9,589,8,2,12,772,8,1
128,"Milieu",8,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,9.5,2,"0","0","1",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,0
130,"Attaquant",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00395,1.47,4,"1","0","0",1,1,1,1,5,11,678,8,2,13,670,6,NA,2,21,NA,NA,7,284,3,1
134,"Defenseur",4,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,1,NA,16.51,16.51,16.51,NA,NA,16.51,16.51,16.51,NA,0,25.58,2,"0","1","1",1,1,1,1,NA,1,90,1,NA,13,1143,13,NA,7,625,7,NA,2,115,1,0
137,"Defenseur",10,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,10.97,12.09,12.83,12.09,NA,NA,12.83,12.09,12.09,10.97,0.00021,9.05,4,"0","1","1",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,130,1,NA,2,96,1,0
148,"Milieu",7,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.63,3,"0","1","0",0,1,1,1,NA,NA,NA,NA,NA,3,87,1,NA,13,758,10,NA,6,333,4,0
165,"Defenseur",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
167,"Milieu",3,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,1,11.4,12.54,13.3,12.54,NA,NA,13.3,12.54,12.54,11.4,7e-05,6.4,3,"1","0","0",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,9,482,5,2,9,499,6,0
185,"Defenseur",6,"France","aucun","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019,18.11,2,"1","0","0",1,1,1,1,2,13,934,9,NA,10,855,10,NA,9,775,9,NA,6,452,6,1
187,"Attaquant",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM REIMS",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00053,14.58,1,"0","0","1",1,1,1,1,NA,3,87,1,1,9,373,4,NA,4,166,2,NA,1,78,1,0
206,"Milieu",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-05,19.26,2,"0","0","1",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,1154,12,1
219,"Defenseur",4,"France","aucun","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00016,17.92,5,"1","0","1",1,1,1,1,NA,2,131,2,NA,3,224,2,1,12,884,10,NA,12,1009,11,1
233,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-05,26.44,1,"0","0","1",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,389,4,NA,3,251,3,0
237,"Attaquant",7,"France","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00085,12.18,3,"1","1","1",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,249,3,1,12,523,7,0
241,"Defenseur",10,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00037,24.65,3,"1","0","1",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,351,4,NA,9,723,8,1
317,"Attaquant",2,"Comores","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00151,16.27,3,"1","1","0",1,1,1,1,4,7,396,4,1,7,386,5,1,8,612,8,6,19,1328,17,1
334,"Attaquant",6,"France","CFM - CENTRE DE FORMATION LA BERRICHONNE DE CHATEAUROUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,35.21,2,"1","0","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,171,2,0
375,"Defenseur",2,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","PEM - PEM CASTELMAUROU",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33.45,1,"0","0","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,114,1,0
386,"Attaquant",3,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00066,23.64,1,"1","0","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,356,2,1
388,"Milieu",1,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018,14.29,3,"1","0","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,71,1,0
397,"Attaquant",9,"Cote d'ivoire","CFM - CENTRE DE FORMATION F.C. METZ","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00704,35.5,1,"1","0","0",1,1,1,1,5,15,966,11,4,9,759,9,4,4,248,3,7,17,1327,16,1
412,"Defenseur",1,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,16.56,1,"0","1","0",1,1,1,1,1,9,590,7,NA,11,945,10,NA,4,360,4,NA,10,784,9,1
415,"Defenseur",6,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM REIMS",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,1,NA,13,1135,13,NA,9,754,8,NA,5,373,4,NA,5,365,4,1
416,"Attaquant",4,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",1,0,NA,10.55,10.55,10.55,NA,NA,10.55,10.55,10.55,NA,0.00053,14.44,1,"0","0","1",1,0,1,1,2,11,518,6,NA,NA,NA,NA,1,6,293,3,5,16,1000,10,0
422,"Defenseur",7,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,0,14.1,11.17,8.43,11.17,11.86,11.86,7.5,11.42,11.42,16.64,1e-05,8.83,3,"1","0","1",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,843,10,1
433,"Defenseur",5,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,77.75,1,"0","1","0",0,1,1,1,NA,NA,NA,NA,NA,6,360,5,NA,2,91,1,NA,10,706,7,1
438,"Defenseur",2,"Maurice","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8,618,7,1,10,765,9,1
452,"Defenseur",4,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM DIJON",0,0,NA,11.34,11.34,11.34,NA,NA,11.34,11.35,11.34,NA,0.00051,17.22,3,"1","0","0",1,0,0,1,NA,3,154,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,722,8,1
491,"Defenseur",10,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,97.5,2,"1","0","1",1,1,0,1,NA,6,422,5,1,17,1418,17,NA,NA,NA,NA,NA,1,90,1,1
